Адрес группы,Сообщество,Номер телефона сообщества,Ссылка на сообщество,Наименование товара,Ссылка на товар,Цена товара,Изображение товара,Дата добавления товара
Не указан в сообществе,Серфинг,Не указан в сообществе,https://vk.com/surfportalru,Серфинг в ЮАР ,https://vk.com/market?w=product-147455205_818936,$ 1 600,https://sun9-3.userapi.com/c639820/v639820938/2a476/X-CyIMQunQA.jpg,22 июня в 17:06
Не указан в сообществе,Наша Семья Nikanas,Не указан в сообществе,https://vk.com/nikanasshop,SMOBY Интерактивный Столик Cotoons ,https://vk.com/market?w=product-130545490_1085873,1 700 грн.,https://sun9-67.userapi.com/c836623/v836623198/57f45/4TRccI-P05k.jpg,11 мая в 14:14
Не указан в сообществе,Скидки на обучение от Школы Музыки,Не указан в сообществе,https://vk.com/skidkiag,Обучение игре на ударных,https://vk.com/market?w=product-147829943_884210,9 900 ₽,https://sun9-33.userapi.com/c637622/v637622989/4e643/kV52ccYh0RQ.jpg,30 мая в 12:26
Не указан в сообществе,Музыкальная студия. Eart.by,Не указан в сообществе,https://vk.com/eartmusic,КУРСЫ ИГРЫ НА БАРАБАНАХ,https://vk.com/market?w=product-118303667_640646,150 б. р.,https://sun9-65.userapi.com/c626520/v626520587/691ac/wvgM-tK4_As.jpg,3 марта в 19:56
Не указан в сообществе,Наша Семья Nikanas,Не указан в сообществе,https://vk.com/nikanasshop,SMOBY Интерактивный Столик Cotoons ,https://vk.com/market?w=product-130545490_1085873,1 700 грн.,https://sun9-67.userapi.com/c836623/v836623198/57f45/4TRccI-P05k.jpg,11 мая в 14:14
Не указан в сообществе,Как учить музыке радостно!,Не указан в сообществе,https://vk.com/orffpodhod,Курс для педагогов,https://vk.com/market?w=product-76246112_493855,3 500 ₽,https://sun9-12.userapi.com/pA8sf1jcw7DNvBWrEiimyo3TJ_WABJ59RSetcA/wOOs01u2qfs.jpg,21 января в 11:40
Не указан в сообществе,Музыкальная студия. Eart.by,Не указан в сообществе,https://vk.com/eartmusic,КУРСЫ ИГРЫ НА БАРАБАНАХ,https://vk.com/market?w=product-118303667_640646,150 б. р.,https://sun9-65.userapi.com/c626520/v626520587/691ac/wvgM-tK4_As.jpg,3 марта в 19:56
Не указан в сообществе,ТВОРЧЕСКАЯ СТУДИЯ ЛЕОНИДА АНДРЕЕВА,Не указан в сообществе,https://vk.com/leonidandreevschool,УДАРНЫЕ,https://vk.com/market?w=product-92827638_321464,1 200 ₽,https://sun9-59.userapi.com/c631628/v631628937/49f4b/aTBAxFjKILs.jpg,6 сентября в 12:30
Не указан в сообществе,Как учить музыке радостно!,Не указан в сообществе,https://vk.com/orffpodhod,Курс для педагогов,https://vk.com/market?w=product-76246112_493855,3 500 ₽,https://sun9-12.userapi.com/pA8sf1jcw7DNvBWrEiimyo3TJ_WABJ59RSetcA/wOOs01u2qfs.jpg,21 января в 11:40
Не указан в сообществе,Типичный Барабанщик,Не указан в сообществе,https://vk.com/typicaldrummer,Уроки игры на барабанах по Skype Продвинутый уровень,https://vk.com/market?w=product-33221864_276119,800 ₽,https://sun9-21.userapi.com/c636423/v636423095/3896d/jAoKy4m_S0o.jpg,25 июня в 0:04
Не указан в сообществе,ТВОРЧЕСКАЯ СТУДИЯ ЛЕОНИДА АНДРЕЕВА,Не указан в сообществе,https://vk.com/leonidandreevschool,УДАРНЫЕ,https://vk.com/market?w=product-92827638_321464,1 200 ₽,https://sun9-59.userapi.com/c631628/v631628937/49f4b/aTBAxFjKILs.jpg,6 сентября в 12:30
Не указан в сообществе,Типичный Барабанщик,Не указан в сообществе,https://vk.com/typicaldrummer,Уроки игры на барабанах по Skype Средний Уровень ,https://vk.com/market?w=product-33221864_276114,800 ₽,https://sun9-15.userapi.com/c636423/v636423095/3897f/Cuatd69UQz0.jpg,24 июня в 23:30
Не указан в сообществе,Типичный Барабанщик,Не указан в сообществе,https://vk.com/typicaldrummer,Уроки игры на барабанах по Skype Продвинутый уровень,https://vk.com/market?w=product-33221864_276119,800 ₽,https://sun9-21.userapi.com/c636423/v636423095/3896d/jAoKy4m_S0o.jpg,25 июня в 0:04
Не указан в сообществе,Типичный Барабанщик,Не указан в сообществе,https://vk.com/typicaldrummer,Уроки игры на барабанах по Skype Начальный Уровень ,https://vk.com/market?w=product-33221864_276085,800 ₽,https://sun9-15.userapi.com/c636423/v636423095/3894d/bHTQR85kUkA.jpg,24 июня в 22:37
Не указан в сообществе,Типичный Барабанщик,Не указан в сообществе,https://vk.com/typicaldrummer,Уроки игры на барабанах по Skype Средний Уровень ,https://vk.com/market?w=product-33221864_276114,800 ₽,https://sun9-15.userapi.com/c636423/v636423095/3897f/Cuatd69UQz0.jpg,24 июня в 23:30
Не указан в сообществе,"Онлайн школа вокала и гитары ""Петь Легко""",+7 (495) 241-02-59,https://vk.com/easyvoice,"Курс гитары ""VIP""",https://vk.com/market?w=product-62086614_497538,100 000 ₽,https://sun9-6.userapi.com/c621524/v621524973/1d310/Hf6hVXx9g4I.jpg,4 июня в 22:41
Не указан в сообществе,Типичный Барабанщик,Не указан в сообществе,https://vk.com/typicaldrummer,Уроки игры на барабанах по Skype Начальный Уровень ,https://vk.com/market?w=product-33221864_276085,800 ₽,https://sun9-15.userapi.com/c636423/v636423095/3894d/bHTQR85kUkA.jpg,24 июня в 22:37
Не указан в сообществе,"Онлайн школа вокала и гитары ""Петь Легко""",+7 (495) 241-02-59,https://vk.com/easyvoice,"Курс гитары ""VIP""",https://vk.com/market?w=product-62086614_497538,100 000 ₽,https://sun9-6.userapi.com/c621524/v621524973/1d310/Hf6hVXx9g4I.jpg,4 июня в 22:41
